url,type,name,http_status,is_self_canonical,canonical_found,is_index_allowed,is_server_rendered,title,has_desc,schema_valid,overall_status
https://collectibles.uy/marca/cinereplicas,BRAND,"Cinereplicas",200,YES,https://collectibles.uy/marca/cinereplicas,YES,YES,"Cinereplicas en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/heroclix,BRAND,"Heroclix",200,YES,https://collectibles.uy/marca/heroclix,YES,YES,"Heroclix en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/playmates-toys,BRAND,"Playmates Toys",200,YES,https://collectibles.uy/marca/playmates-toys,YES,YES,"Playmates Toys en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/kenner,BRAND,"Kenner",200,YES,https://collectibles.uy/marca/kenner,YES,YES,"Kenner en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/hot-toys,BRAND,"Hot Toys",200,YES,https://collectibles.uy/marca/hot-toys,YES,YES,"Hot Toys en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/producto/the-creep-ultimate-creepshow-40th-anniversary-neca-2688,PRODUCT,"The Creep Ultimate Creepshow 40th Anniversary Neca",200,YES,https://collectibles.uy/producto/the-creep-ultimate-creepshow-40th-anniversary-neca-2688,YES,YES,"The Creep Ultimate Creepshow 40th Anniversary Neca | Collectibles Urug",YES,YES,PASS
https://collectibles.uy/marca/jazwares,BRAND,"Jazwares",200,YES,https://collectibles.uy/marca/jazwares,YES,YES,"Jazwares en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/majorette,BRAND,"Majorette",200,YES,https://collectibles.uy/marca/majorette,YES,YES,"Majorette en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/iron-studios,BRAND,"Iron Studios",200,YES,https://collectibles.uy/marca/iron-studios,YES,YES,"Iron Studios en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/producto/figura-de-acci-n-glamrock-fred-security-breach-47490-de-funko-4336,PRODUCT,"Figura De Acción Glamrock Fred Security Breach 47490 De Funko",200,YES,https://collectibles.uy/producto/figura-de-acci-n-glamrock-fred-security-breach-47490-de-funko-4336,YES,YES,"Figura De Acción Glamrock Fred Security Breach 47490 De Funko | Collec",YES,YES,PASS
https://collectibles.uy/producto/laurie-strode-ultimate-halloween--2018--neca-2383,PRODUCT,"Laurie Strode Ultimate Halloween (2018) Neca",200,YES,https://collectibles.uy/producto/laurie-strode-ultimate-halloween--2018--neca-2383,YES,YES,"Laurie Strode Ultimate Halloween (2018) Neca | Collectibles Uruguay",YES,YES,PASS
https://collectibles.uy/marca/dc-collectibles,BRAND,"DC Collectibles",200,YES,https://collectibles.uy/marca/dc-collectibles,YES,YES,"DC Collectibles en Uruguay | Collectibles",YES,YES,PASS
